,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
176,-100.31847,-17.734396,-96.28574,-111.56803,-116.504005,-97.81979,-106.63158,-8.87676,-100.10687,-119.2071
177,-108.94541,-13.846444,-98.451904,-100.629486,-103.118195,-96.16352,-109.29607,-97.33591,-120.52478,-18.949978
178,-112.2134,-98.62011,-27.272478,-115.85305,-100.443115,-115.6992,-109.9057,-97.58062,-97.997696,-16.886902
179,-98.44119,-97.71021,-27.665829,-99.98252,-99.71438,-114.78722,-99.25266,-19.31634,-114.19517,-11.889903
180,-112.04409,-97.984375,-107.9117,-17.772684,-112.81847,-100.03745,-99.1502,-20.643555,-12.974313,-94.67972
181,-97.46246,-99.082886,-125.58696,-97.29791,-115.210556,-99.62995,-14.193514,-98.16367,-115.317184,-103.59473
182,-13.73403,-98.10157,-22.201857,-128.38617,-97.2804,-101.485664,-98.55686,-100.4973,-98.7943,-96.28035
183,-107.33091,-11.641959,-97.469284,-17.009861,-98.42668,-99.60592,-100.48569,-99.64043,-98.544914,-92.65962
184,-19.791378,-20.120544,-99.11085,-97.53624,-109.23726,-96.2485,-99.96127,-99.49839,-94.5558,-114.67753
185,-99.25986,-105.29251,-107.6184,-95.88703,-107.08072,-114.218094,-96.77209,-97.141945,-123.55591,-16.739168
186,-117.27669,-110.40244,-114.239426,-96.00832,-23.201376,-118.068405,-112.83337,-92.2969,-97.262344,-110.910545
187,-18.024178,-15.74409,-97.842636,-99.42568,-99.608116,-101.857254,-116.82645,-99.074974,-116.223236,-12.285184
188,-110.35339,-18.371655,-99.20731,-21.35453,-16.782114,-112.316376,-108.97473,-20.328028,-98.317055,-101.90222
189,-99.38768,-97.23646,-98.90645,-98.76034,-95.92127,-100.81704,-24.016766,-99.09458,-98.84528,-113.30577
190,-98.635506,-97.01055,-93.6713,-97.61199,-112.16943,-97.2858,-15.849703,-120.085976,-96.2688,-100.60578
191,-97.49472,-14.171452,-25.16291,-113.46237,-96.38472,-100.14535,-99.129005,-98.52794,-100.42016,-11.887245
192,-97.82152,-114.25183,-98.17423,-98.79609,-96.26458,-98.1769,-99.53678,-105.25924,-18.490122,-10.593938
193,-95.17915,-111.59274,-116.04208,-12.777883,-15.45993,-108.5108,-112.82665,-101.71102,-95.50177,-19.176104
194,-98.16607,-123.85034,-97.73813,-107.13119,-110.1217,-100.54111,-10.65128,-98.56134,-97.44338,-99.0557
195,-118.17831,-107.82192,-96.52102,-98.48607,-112.352745,-17.61484,-111.24936,-24.318855,-26.996304,-101.57879
196,-98.79454,-112.83046,-117.96346,-14.983999,-19.08274,-118.49169,-101.06009,-99.90031,-120.109055,-111.04111
197,-96.815994,-97.16649,-98.1238,-16.788109,-119.33978,-10.862813,-108.03794,-97.57978,-91.46745,-16.077072
198,-101.45515,-98.15532,-12.037428,-14.590869,-121.32475,-98.532196,-101.515076,-99.09334,-101.05957,-98.21973
199,-93.4561,-112.82159,-97.916985,-99.79717,-96.78747,-96.5696,-10.415986,-105.02225,-101.79226,-20.555012
200,-99.65045,-117.58111,-110.66379,-110.977264,-98.946655,-8.273642,-96.28593,-101.09007,-97.644104,-100.563736
201,-99.78416,-20.20103,-9.032027,-13.395219,-96.28732,-96.128494,-97.38913,-23.426851,-112.13241,-14.974495
202,-112.80037,-17.792757,-128.05383,-98.5294,-114.19336,-98.21682,-100.77117,-14.217844,-31.657448,-13.97751
203,-108.13957,-19.620584,-100.17356,-103.02809,-15.3493185,-99.30896,-14.958498,-101.0039,-100.68853,-18.491402
204,-98.39357,-109.21748,-115.46402,-117.66968,-111.961914,-98.71067,-100.92007,-99.65178,-23.67543,-116.60647
205,-102.22648,2.5274174,-117.37132,-12.727612,-98.24961,-102.09595,-18.074059,-127.404236,-103.102844,-15.981268
206,-123.26068,-99.07022,-97.771835,-126.2348,-104.26012,-26.45805,-104.2435,-99.25075,-95.96842,-114.817314
207,-114.85395,-112.814445,-120.87172,-113.62547,-93.95808,-102.288,-16.802908,-95.75211,-111.69531,-19.119438
208,-99.396255,-113.460045,-22.826975,-125.38194,-101.03344,-107.27846,-97.53045,-99.33357,-113.70123,-16.246868
209,-103.48254,-123.16853,-98.18506,-115.158066,-116.26565,-100.33209,-99.99933,-99.47663,-97.08373,-15.736864
210,-103.41872,-13.475941,-115.16373,-113.85391,-100.75126,-115.52725,-97.66725,-98.807434,-96.29296,-101.02096
211,-94.47568,-15.352963,-19.142332,-97.82447,-111.66647,-98.217354,-112.12341,-100.59532,-16.940903,-103.47979
212,-97.48418,-102.299,-96.61069,-112.390755,-117.32525,-15.879897,-99.29227,-97.83316,-95.35459,-13.178057
213,-97.48512,-120.221176,-95.8685,-15.2023535,-115.08955,-11.546339,-16.920895,-101.142044,-100.25588,-103.917656
214,-98.01623,-98.95201,-99.09209,-18.73482,-7.12111,-99.42104,-21.037352,-97.938705,-7.9731913,-115.51114
215,-121.29946,-109.8475,-119.46477,-13.859349,-96.10402,-102.93979,-98.00032,-99.620895,-96.15384,-117.10923
216,-110.52272,-12.329198,-99.583855,-21.334747,-99.074196,-105.801994,-8.84687,-111.35007,-103.19613,-111.391396
217,-97.44789,-114.33421,-18.024559,-98.64007,-98.66643,-100.77294,-99.537125,-97.887665,-102.25035,-98.66218
218,-98.22098,-114.47435,-99.82111,-97.02877,-25.350842,-102.298904,-104.95854,-98.590675,-97.73681,-101.26276
219,-102.52594,-94.78324,-101.540726,-99.07202,-116.89758,-99.35688,-100.71335,-113.002396,-100.749664,-100.01693
220,-15.234389,-98.1558,-99.43046,-112.21544,-112.132835,-117.46694,-99.895424,-97.34829,-100.47609,-96.369354
